,Dutch,German,Italian,English,Spanish,Finnish
0,thou,sprach,sì,den,si,mi
1,one,sah,de,gij,tan,mut
2,thee,drum,quel,zoo,así,näin
3,unto,schon,poi,zóó,hacia,sa
4,upon,mehr,così,wanneer,aquel,mun
5,thy,wohl,là,waar,después,jo
6,us,ward,quando,zeide,pues,kaikki
7,said,licht,già,wij,aquí,mulle
8,made,gleich,tanto,zang,modo,min
9,eyes,wer,son,oogen,ojos,laulu
10,may,wort,canto,zie,bien,mua
11,doth,geist,chio,eene,tal,vain
12,thus,blick,qual,mijne,fué,ett
13,see,einst,occhi,gelijk,mismo,sitten
14,saw,sieh,ben,voorts,oh,myös
15,shall,sei,disse,project,allí,toinen
16,first,schien,sé,gutenberg,cielo,sun
17,still,kraft,lor,zijne,mundo,ennen
18,great,ganz,ché,waarom,vi,näät
19,even,erst,qui,welke,palabras,vielä
20,would,macht,fa,zag,dijo,niinkuin
21,turned,allein,né,alle,aquella,taas
22,good,gesang,com,zien,dos,ois
23,within,welt,vidi,weg,dios,siks
24,make,fort,pur,des,luz,kuinka
25,love,nie,però,gaan,tiempo,voi
26,light,drauf,ciò,boven,amor,dante
27,round,gott,giù,zon,entonces,ken
28,little,voll,tal,aldus,ahora,tää
29,come,je,prima,dante,tierra,hälle
30,heaven,bald,poco,uwe,todas,ynnä
31,people,project,mondo,dien,sino,oi
32,world,meister,te,gaat,canto,tään
33,mine,gutenberg,cha,blz,alma,maan
34,without,himmel,sù,liefde,gran,silloin
35,much,glanz,mai,hemel,sol,ettei
36,time,zeit,ancor,licht,hizo,siellä
37,forth,augen,terra,achter,cuanto,siis
38,canto,kreis,onde,berg,ver,danten
39,art,grund,fuor,hen,vista,ol
40,well,glut,sanza,goede,decir,täällä
41,far,beim,esser,virgilius,camino,virkkoi
42,like,liebe,ond,wel,toda,taivaan
43,already,gut,dio,ziel,deseo,sai
44,god,leben,gente,weinig,almas,kaiken
45,every,kaum,laltro,komt,fin,nähdä
46,came,muß,dentro,god,hombre,alas
47,way,rief,parte,anderen,parte,vuoksi
48,whence,stand,elli,zijt,aún,sua
49,place,eh,due,één,guía,eikä
50,go,auge,maestro,drie,ser,jumalan
51,side,kam,colui,eenen,vida,lausui
52,behold,ließ,sotto,weet,maestro,päällä
53,master,weit,sol,goed,puede,sinne
54,say,ging,ciel,twee,cómo,paljon
55,know,schatten,veder,leven,causa,project
56,many,ists,altri,dezen,espíritu,gutenberg
57,two,begann,mente,hare,hace,kerran
58,yet,lieb,ogne,ziet,según,käy
59,speak,ort,vedi,tijd,sólo,nää
60,began,sprich,quei,eerste,cada,enää
61,others,ersten,gran,onze,_canto,toisen
62,power,gottes,n,hunne,verdad,sulle
63,sight,gesicht,viso,noch,tres,vastaan
64,beheld,schnell,altro,work,abajo,koskaan
65,sun,herr,qua,woorden,rostro,miss
66,thine,hand,dietro,komen,sitio,pyhä
67,man,ewgen,loco,1,cabeza,kautta
68,never,klar,quivi,ter,mientras,ensi
69,mind,sehn,duca,groote,suerte,aina
70,earth,natur,project,doet,allá,päin
71,another,kreise,dolce,eerst,cosas,näytti
72,therefore,seele,fé,kwam,mayor,luojan
73,dost,nacht,gutenberg,79,project,mies
74,holy,fuß,pria,begeerte,arriba,sielu
75,words,führer,poscia,46,cuerpo,yksin
76,tell,schar,lume,deed,gutenberg,kolme
77,life,zwei,tempo,4,virtud,rakkaus
78,feet,empor,far,hebt,bajo,ensin
79,project,tod,luce,49,medio,pois
80,seemed,zeigt,tosto,52,éste,beatrice
81,hast,heilgen,vita,37,vez,jok
82,soul,herz,mal,ware,aquellas,pyhän
83,gutenberg,virgil,donna,alleen,menos,sanat
84,heard,tat,va,gekomen,círculo,viel
85,let,oben,chè,73,demás,mit
86,desire,brust,via,buiten,veces,eri
87,behind,andre,fatto,97,siempre,tuli
88,new,sonne,tre,ander,naturaleza,oisi
89,full,land,tutte,geest,misma,vuoks
90,must,nah,parole,ten,aquél,nähnyt
91,fire,stets,laltra,zijde,quién,ks
92,face,hört,tutta,133,visto,kuoli
93,long,fest,sempre,112,lado,voinut
94,could,lust,vista,19,día,jotk
95,among,drei,sovra,maakte,beatriz,tänne
96,three,bild,dun,spreken,mal,saa
97,back,leib,lì,94,voz,kaksi
98,ever,sinn,ella,55,hijo,yks
99,circle,sohn,primo,58,padre,suuri
100,shalt,drob,ciascun,85,fuego,jälleen
101,things,nimmer,ver,indien,voluntad,alla
102,alone,oft,rispuose,40,haber,näyttää
103,sweet,wahrheit,lun,82,aun,ylös
104,soon,ja,voce,88,aquellos,vuonna
105,less,sieht,avea,mensch,luego,hyvä
106,ye,blut,foco,aarde,mira,sielut
107,eternal,antlitz,forse,25,corazón,kuink
108,near,schuld,dir,tusschen,primer,valo
109,look,sagen,men,43,gracia,mestari
110,seen,rings,dinanzi,13,punto,hyvin
111,nature,geht,assai,121,dulce,maailman
112,along,laß,cose,7,agua,miks
113,high,volk,natura,127,nombre,ilman
114,since,haupt,virtù,plaats,sombra,soi
115,towards,kommt,buon,28,divina,tullut
116,together,wenig,cielo,100,jamás,luo
117,think,großen,bene,nl,dije,v
118,beatrice,immer,piè,34,nunca,katso
119,lady,itzt,padre,124,llama,tietää
120,became,work,allor,118,muerte,yhtä
121,appeared,erste,par,begon,cosa,oon
122,tis,sprachs,cosa,67,monte,saakka
123,hear,neu,grazia,zeggen,va,alkoi
124,living,vater,convien,130,alguna,muiden
125,away,minder,dì,22,pies,sit
126,hand,weiß,monte,109,hablar,silmät
127,makes,tun,amor,zoodat,pronto,taikka
128,right,kund,ancora,70,forma,suuren
129,grace,gehn,esso,binnen,dolor,kääntyi
130,name,frei,cominciò,106,fuí,enemmän
131,head,sehen,alcun,16,dentro,kuten
132,day,lang,quand,76,nuevo,kauan
133,left,himmels,luna,staat,sido,usein
134,air,wies,vero,31,alto,multa
135,upward,selber,quell,10,contestó,ilmi
136,son,stadt,può,115,parece,antoi
137,virtue,kehrt,fia,ééne,espíritus,jumala
138,spirit,beiden,ora,91,hecho,koko
139,heart,art,omai,61,parecía,päivän
140,water,aug,mezzo,vermogen,alas,tiedä
141,moved,erden,sole,verder,san,välillä
142,divine,hoch,color,103,oír,taivas
143,truth,luft,quasi,64,buen,mestarini
144,whose,wunsch,el,daarom,aire,oppaani
145,ere,fand,diss,zeg,sombras,tietä
146,turn,berg,verso,allen,dama,mitään
147,give,zeigen,ove,136,pie,aikaa
148,part,wesen,quindi,antwoordde,delante,päivä
149,father,schein,forte,minder,paso,virka
